ID,Country of Origin,Variety,Processing Method,Aroma_,Flavor_,Aftertaste_,Acidity_,Body_,Balance,Overall,Color,Aroma,Flavor,Aftertaste,Acidity,Body,Overall
1,Colombia,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,8.58,green,Best,Best,Best,Best,Best,Best
2,Laos,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,8.33,yellowish,Best,Best,Best,Best,Best,Best
3,Colombia,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,8.25,yellow-green,Best,Best,Best,Best,Best,Best
4,Taiwan,Gesha,Washed / Wet,8.33,8.17,8.08,8,7.83,8.25,8.25,green,Best,Best,Best,Best,Best,Best
5,Taiwan,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8,8.25,greenish,Best,Best,Best,Best,Best,Best
6,Ethiopia,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,8,greenish,Best,Best,Best,Best,Best,Best
7,Taiwan,Gesha,Washed / Wet,8.08,8,8.08,8.08,8,8,8,green,Best,Best,Best,Best,Best,Best
8,Colombia,Caturra,Washed / Wet,8.08,8,8.08,7.92,8.08,8,8,green,Best,Best,Best,Best,Best,Best
9,Ethiopia,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,8.08,green,Best,Best,Best,Best,Good,Best
10,Taiwan,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,8.17,brownish,Best,Best,Best,Best,Best,Best
11,Guatemala,Gesha,Natural / Dry,8,7.92,8.08,7.92,7.75,8,8.08,yellowish,Best,Good,Best,Best,Good,Best
12,Thailand,Catimor,Pulped natural / honey,7.67,8,7.83,8,8.08,8,8.08,browish-green,Good,Best,Best,Best,Best,Best
13,Taiwan,SL34,Washed / Wet,7.83,8,7.92,8,8,7.92,7.92,bluish-green,Good,Best,Best,Best,Best,Best
