ID,Country of Origin,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Color
1,Colombia,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,8.58,green
2,Laos,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,8.33,yellowish
3,Colombia,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,8.25,yellow-green
4,Taiwan,Gesha,Washed / Wet,8.33,8.17,8.08,8,7.83,8.25,8.25,green
5,Taiwan,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8,8.25,greenish
6,Ethiopia,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,8,greenish
7,Taiwan,Gesha,Washed / Wet,8.08,8,8.08,8.08,8,8,8,green
8,Colombia,Caturra,Washed / Wet,8.08,8,8.08,7.92,8.08,8,8,green
9,Ethiopia,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,8.08,green
10,Taiwan,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,8.17,brownish
11,Guatemala,Gesha,Natural / Dry,8,7.92,8.08,7.92,7.75,8,8.08,yellowish
12,Thailand,Catimor,Pulped natural / honey,7.67,8,7.83,8,8.08,8,8.08,browish-green
13,Taiwan,SL34,Washed / Wet,7.83,8,7.92,8,8,7.92,7.92,bluish-green
14,Taiwan,Gesha,Natural / Dry,7.92,7.92,8,7.92,7.83,7.92,8,green
15,Taiwan,Gesha,Natural / Dry,8,8,8,7.92,7.75,7.92,7.92,blue-green
16,Taiwan,Typica,Washed / Wet,8,8,7.83,7.83,7.75,7.92,8.08,bluish-green
17,Taiwan,Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,8,green
18,Ethiopia,Ethiopian Heirlooms,Natural / Dry,8,8.08,8,8,7.67,7.75,7.83,yellow green
19,Taiwan,Gesha,Washed / Wet,8,7.92,7.83,7.92,7.83,7.83,7.92,bluish-green
20,Kenya,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8,8,greenish
21,Taiwan,Typica,Natural / Dry,8,7.92,7.83,7.92,7.75,7.75,7.92,brownish
22,Taiwan,Gesha,Washed / Wet,8,7.92,7.67,8,7.75,7.83,7.92,pale yellow
23,Taiwan,Typica,,7.92,8,7.92,8,7.58,7.75,7.83,green
24,Guatemala,Caturra,Washed / Wet,7.67,8.08,7.67,8,7.92,7.83,7.83,green
25,Guatemala,Caturra,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,7.92,green
26,Taiwan,Yellow Bourbon,Natural / Dry,8,8,7.75,7.75,7.67,7.75,7.92,brownish
27,Peru,Gesha,Washed / Wet,8,8,7.83,7.83,7.58,7.83,7.75,greenish
28,Taiwan,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8,8,greenish
29,Brazil,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,7.83,green
30,Taiwan,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,7.75,blue-green
31,Guatemala,Bourbon,Natural / Dry,7.83,8,7.67,7.83,7.75,7.75,7.83,yellow-green
32,Taiwan,Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,7.92,greenish
33,Nicaragua,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,8,green
34,Taiwan,SL34,Natural / Dry,7.83,8,7.67,7.75,7.67,7.75,7.92,green
35,Costa Rica,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,7.92,green
36,Honduras,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,7.75,green
37,Taiwan,Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,7.83,green
38,Guatemala,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,7.75,green
39,Ethiopia,Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8,7.5,7.75,yellow green
40,Colombia,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,7.83,green
41,Guatemala,Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,7.75,green
42,Honduras,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,7.75,green
