,ID,Country of Origin,COO MCA,Norm COO MCA,Altitude,Grading Date,Variety,Variety MCA,Norm Variety MCA,Processing Method,PM MCA,Norm PM MCA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Color MCA,Norm Color MCA,Category Two Defects,Expiration
0,0,Colombia,-0.609228788,0.011300189,1700-1930,"September 21st, 2022",Castillo,-0.610517172,0.127698057,Double Anaerobic Washed,-0.610517172,0.127698056,8.58,8.5,8.42,8.58,8.25,8.42,10,10,10,8.58,0,89.33,11.8,0,0,green,-0.087578899,0.244254406,3,"September 21st, 2023"
1,1,Taiwan,0.088575404,0.110403428,1200,"November 15th, 2022",Gesha,-0.055903236,0.166768812,Washed / Wet,-0.086084584,0.164642633,8.5,8.5,7.92,8,7.92,8.25,10,10,10,8.5,0,87.58,10.5,0,0,blue-green,1.676549112,1,0,"November 15th, 2023"
2,2,Laos,1.238043939,0.273652741,1300,"November 15th, 2022",Java,1.170974179,0.253198352,Semi Washed,2.388885532,0.338996261,8.33,8.42,8.08,8.17,7.92,8.17,10,10,10,8.33,0,87.42,10.4,0,0,yellowish,1.209311462,0.799837204,2,"November 15th, 2023"
3,3,Costa Rica,-0.231922843,0.064885767,1900,"September 21st, 2022",Gesha,-0.055903236,0.166768812,Washed / Wet,-0.086084584,0.164642633,8.08,8.17,8.17,8.25,8.17,8.08,10,10,10,8.25,0,87.17,11.8,0,0,green,-0.087578899,0.244254406,0,"September 21st, 2023"
4,4,Colombia,-0.609228788,0.011300189,1850-2100,"March 6th, 2023",Red Bourbon,-0.842380375,0.111364045,"Honey,Mossto",-0.842380375,0.111364044,8.33,8.33,8.08,8.25,7.92,7.92,10,10,10,8.25,0,87.08,11.6,0,2,yellow-green,-0.397042519,0.111681392,2,"March 5th, 2024"
5,5,Guatemala,-0.116351185,0.081299434,1668,"November 15th, 2022",Gesha,-0.055903236,0.166768812,Washed / Wet,-0.086084584,0.164642633,8.33,8.33,8.25,7.83,7.83,8.17,10,10,10,8.25,0,87,10.7,0,0,green,-0.087578899,0.244254406,2,"November 15th, 2023"
6,6,Taiwan,0.088575404,0.110403428,1250,"November 15th, 2022",Gesha,-0.055903236,0.166768812,Washed / Wet,-0.086084584,0.164642633,8.33,8.17,8.08,8,7.83,8.25,10,10,10,8.25,0,86.92,9.1,0,0,green,-0.087578899,0.244254406,0,"November 15th, 2023"
7,7,Taiwan,0.088575404,0.110403428,1200,"November 15th, 2022",Sl34+Gesha,-0.336132544,0.147027565,Natural / Dry,-0.138185131,0.160972318,8.25,8.25,8.17,8,7.92,8.08,10,10,10,8.08,0,86.75,10,0,0,yellow green,-0.365774684,0.125076412,1,"November 15th, 2023"
8,8,Taiwan,0.088575404,0.110403428,1250,"November 15th, 2022",SL34,0.133054108,0.180080245,Washed / Wet,-0.086084584,0.164642633,8.08,8.08,8.25,8.08,7.92,8,10,10,10,8.25,0,86.67,10.8,0,0,greenish,-0.401085207,0.109949521,0,"November 15th, 2023"
9,9,"Tanzania, United Republic Of",-0.38372521,0.043326558,1400-1700,"February 1st, 2023",Bourbon,-0.116081184,0.16252947,Washed / Wet,-0.086084584,0.164642633,8.08,8.17,8.08,8.17,8,8,10,10,10,8,0,86.5,11,0,0,greenish,-0.401085207,0.109949521,0,"February 1st, 2024"
